 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr
190,Ctrl_S6TPE_5_20x_Ant_R_VTA red: region 007; 01-09; 700-10000,1851,136.521,42.053,142,54,244,959.308,815.327,958.8,816.436,170.024,932,794,55,42,54.48,43.26,4.298,0.805,55.973,252700,137,0.073,-0.594,99.946,252700,934,808,161.241,41.548,1.259,0.794,0.955,54,255
191,Ctrl_S6TPE_5_20x_Med_R_VTA red: region 001; 01-09; 700-10000,1356,91.662,21.745,68,62,163,508.837,122.264,506.366,122.221,345.061,469,106,96,41,72.824,23.708,178.612,0.143,96.628,124294,88,0.684,-0.204,98.762,124294,469,120,173.463,41,3.072,0.326,0.509,62,255
192,Ctrl_S6TPE_5_20x_Med_R_VTA red: region 002; 01-09; 700-10000,1672,107.894,25.016,113,62,173,1036.997,326.765,1036.891,326.569,201.966,1004,309,68,36,66.633,31.949,172.392,0.515,70.342,180398,107,0.097,-0.867,99.702,180398,1004,316,165.174,36,2.086,0.479,0.901,62,255
193,Ctrl_S6TPE_5_20x_Med_R_VTA red: region 003; 01-09; 700-10000,2199,138.253,46.586,80,62,255,450.346,398.44,451.278,400.641,230.049,419,365,62,62,60.602,46.201,139.04,0.522,63.151,304018,138,0.223,-0.91,99.864,304018,445,365,100.954,46.798,1.312,0.762,0.885,62,255
194,Ctrl_S6TPE_5_20x_Med_R_VTA red: region 004; 01-09; 700-10000,895,105.458,32.478,73,62,192,88.002,490.528,89.976,491.543,162.995,65,471,43,39,43.382,26.268,135.246,0.423,48.27,94385,97,0.808,-0.322,98.028,94385,68,471,140.042,33.506,1.651,0.606,0.776,62,255
195,Ctrl_S6TPE_5_20x_Med_R_VTA red: region 005; 01-09; 700-10000,1213,102.299,24.422,108,62,182,283.532,765.812,283.601,766.923,222.551,255,746,53,36,50.869,30.361,21.768,0.308,56.462,124089,101,0.314,-0.519,99.345,124089,255,775,22.932,35.072,1.675,0.597,0.823,62,255
196,Ctrl_S6TPE_5_20x_Pos_R_VTA red: region 001; 01-09; 700-10000,1473,138.914,38.876,104,90,255,1096.63,398.403,1097.328,400.287,267.505,1071,371,56,54,45.625,41.106,126.786,0.259,61.741,204620,128,0.825,-0.378,98.463,204620,1071,378,155.095,49.497,1.11,0.901,0.674,90,255
197,Ctrl_S6TPE_5_20x_Pos_R_VTA red: region 002; 01-09; 700-10000,1422,151.501,45.982,99,90,252,91.089,538.03,91.117,541.071,274.191,60,489,52,78,63.497,28.514,66.651,0.238,85.884,215435,141,0.526,-0.92,99.302,215435,61,565,62.241,38.042,2.227,0.449,0.627,90,255
198,Ctrl_S6TPE_6_20x_Ant_R_VTA red: region 001; 01-09; 700-10000,2703,102.081,27.513,97,55,206,84.183,96.322,85.366,98.184,301.061,45,37,87,93,91.009,37.816,132.48,0.375,112.539,275925,99,0.636,0.223,99.889,275925,45,39,137.521,46.561,2.407,0.416,0.742,55,255
199,Ctrl_S6TPE_6_20x_Ant_R_VTA red: region 002; 01-09; 700-10000,859,124.694,46.742,59,55,248,677.176,211.243,678.041,210.893,121.196,659,195,40,32,37.915,28.846,152.456,0.735,43.463,107112,121,0.374,-0.797,100,107112,659,200,156.975,30.411,1.314,0.761,0.905,55,255
200,Ctrl_S6TPE_6_20x_Ant_R_VTA red: region 003; 01-09; 700-10000,1109,79.904,16.784,59,55,130,541.019,366.651,540.501,366.941,178.894,515,349,57,32,54.263,26.022,176.051,0.435,58.941,88614,78,0.542,-0.351,97.11,88614,515,350,165.256,31.196,2.085,0.48,0.781,55,255
201,Ctrl_S6TPE_6_20x_Ant_R_VTA red: region 004; 01-09; 700-10000,7825,137.408,47.484,156,55,253,905.77,627.977,905.088,627.076,790.749,792,600,224,68,198.746,50.13,179.727,0.157,224.223,1075217,140,-0.01,-1.039,98.963,1075217,792,617,177.444,66.814,3.965,0.252,0.74,55,255
202,Ctrl_S6TPE_6_20x_Med_R_VTA red: region 001; 01-09; 700-10000,792,88.324,17.11,73,66,139,864.088,94.941,863.492,95.109,188.995,833,84,67,24,50.746,19.871,9.174,0.279,67.602,69953,85,0.811,-0.209,94.511,69953,833,96,7.651,23.67,2.554,0.392,0.724,66,255
203,Ctrl_S6TPE_6_20x_Med_R_VTA red: region 002; 01-09; 700-10000,1714,113.427,36.811,72,66,255,280.176,370.303,280.759,369.911,239.279,246,340,77,48,66.76,32.689,1.721,0.376,80.081,194414,106,0.844,0.149,96.455,194414,246,385,15.945,47.898,2.042,0.49,0.707,66,255
204,Ctrl_S6TPE_6_20x_Med_R_VTA red: region 003; 01-09; 700-10000,1023,108.382,29.417,66,66,184,792.769,431.779,791.312,432.317,178.752,775,414,42,38,39.5,32.976,54.751,0.402,48.166,110875,104,0.332,-1.016,98.271,110875,779,450,41.634,38,1.198,0.835,0.757,66,255
205,Ctrl_S6TPE_6_20x_Med_R_VTA red: region 004; 01-09; 700-10000,2335,121.166,39.215,81,66,246,1178.294,516.506,1175.547,515.95,209.865,1150,486,70,58,59.019,50.374,167.251,0.666,71.589,282923,114,0.58,-0.554,95.736,282923,1150,532,12.095,54.56,1.172,0.854,0.891,66,255
206,Ctrl_S6TPE_6_20x_Med_R_VTA red: region 005; 01-09; 700-10000,1698,126.515,36.551,126,66,234,252.006,969.932,253.482,969.653,254.735,210,949,93,43,90.335,23.933,21.222,0.329,100.464,214822,124,0.425,-0.395,99.882,214822,210,988,22.225,28.32,3.775,0.265,0.84,66,255
207,Ctrl_S6TPE_6_20x_Pos_R_VTA red: region 001; 01-09; 700-10000,1223,99.599,24.737,69,68,179,1309.558,272.98,1310.907,272.477,219.179,1289,251,54,51,45.207,34.445,15.558,0.32,58.31,121809,94,0.783,-0.171,93.145,121809,1289,255,157.834,46.618,1.312,0.762,0.681,68,255
208,Ctrl_S6TPE_6_20x_Pos_R_VTA red: region 002; 01-09; 700-10000,791,94.928,20.636,70,68,151,92.118,266.706,92.982,266.966,218.836,62,252,54,28,46.232,21.784,176.192,0.208,54.589,75088,92,0.681,-0.354,95.531,75088,62,272,8.427,27.714,2.122,0.471,0.701,68,255
209,Ctrl_S6TPE_6_20x_Pos_R_VTA red: region 003; 01-09; 700-10000,3144,136.229,42.82,118,68,251,592.339,391.434,592.66,392.614,363.63,545,345,97,82,73.156,54.72,154.973,0.299,97.514,428303,130,0.495,-0.538,98.311,428303,545,374,174.114,65.455,1.337,0.748,0.705,68,255
210,Ctrl_S6TPE_6_20x_Pos_R_VTA red: region 004; 01-09; 700-10000,2458,120.757,39.781,83,68,242,1074.194,400.199,1073.286,402.084,313.647,1039,353,72,76,57.008,54.898,69.594,0.314,77.369,296820,114,0.883,0.272,95.161,296820,1064,353,104.216,60.941,1.038,0.963,0.715,68,255
211,Ctrl_S6TPE_6_20x_Pos_R_VTA red: region 005; 01-09; 700-10000,750,129.435,42.402,93,68,252,178.264,459.824,178.856,459.823,142.024,160,444,36,31,35.482,26.913,133.84,0.467,41.881,97076,125,0.519,-0.58,99.867,97076,161,447,146.689,30.042,1.318,0.758,0.821,68,255
212,Ctrl_S6TPE_6_20x_Pos_R_VTA red: region 006; 01-09; 700-10000,1004,105.524,30.186,76,68,206,1184.535,473.161,1187.493,472.77,269.078,1141,461,74,27,62.961,20.304,1.821,0.174,74.169,105946,99,0.948,0.208,99.209,105946,1141,470,3.865,27,3.101,0.322,0.625,68,255
213,Ctrl_S6TPE_6_20x_Pos_R_VTA red: region 007; 01-09; 700-10000,1124,103.287,26.739,76,68,189,1100.702,530.455,1100.192,529.71,251.22,1078,505,53,50,54.85,26.091,136.414,0.224,61.294,116095,97,0.633,-0.526,93.98,116095,1080,510,146.31,36.562,2.102,0.476,0.661,68,255
214,Ctrl_S6TPE_6_20x_Pos_R_VTA red: region 008; 01-09; 700-10000,1416,96.401,24.084,69,68,201,697.96,578.054,699.561,579.188,391.085,662,544,72,60,77.346,23.31,140.038,0.116,88.091,136504,92,1.306,1.601,92.913,136504,665,546,140.528,29.145,3.318,0.301,0.662,68,255
215,Ctrl_S6TPE_6_20x_Pos_R_VTA red: region 009; 01-09; 700-10000,1247,119.358,41.32,69,68,255,1009.358,872.216,1007.097,871.815,228.693,976,856,78,32,66.431,23.901,162.792,0.3,83.217,148840,110,0.947,0.402,99.204,148840,976,859,159.605,28.057,2.779,0.36,0.805,68,255
216,Ctrl_S6TPE_6_20x_Pos_R_VTA red: region 010; 01-09; 700-10000,755,107.052,28.811,93,68,194,740.862,922.726,742.175,923.168,161.095,719,910,41,30,39.478,24.35,164.598,0.366,42.059,80824,100,0.799,-0.22,99.868,80824,719,926,18.004,28.714,1.621,0.617,0.809,68,255
217,Switch_S6TPE_7_20x_Ant_R_VTA red: region 001; 01-09; 700-10000,1170,104.091,15.746,109,81,163,354.702,57.529,354.587,57.679,203.279,324,42,55,36,53.32,27.939,166.034,0.356,55.227,121787,102,0.694,0.026,94.584,121787,324,56,174.806,32.653,1.908,0.524,0.782,81,255
218,Switch_S6TPE_7_20x_Ant_R_VTA red: region 002; 01-09; 700-10000,1508,127.837,37.753,83,81,255,700.275,594.07,701.385,592.509,288.333,662,567,78,71,84.16,22.814,39.759,0.228,92.634,192778,116,0.874,-0.136,98.498,192778,674,638,45.437,34.062,3.689,0.271,0.575,81,255
219,Switch_S6TPE_7_20x_Ant_R_VTA red: region 003; 01-09; 700-10000,1764,134.624,38.418,85,81,251,813.263,641.902,813.837,642.683,313.262,794,601,46,75,71.952,31.215,108.095,0.226,78,237477,129,0.548,-0.61,99.605,237477,800,602,112.62,40.615,2.305,0.434,0.712,81,255
220,Switch_S6TPE_7_20x_Med_R_VTA red: region 001; 01-09; 700-10000,2391,139.072,41.316,95,86,246,463.267,89.932,462.425,88.442,360.132,415,65,86,54,75.858,40.132,0.695,0.232,90.139,332520,128,0.632,-0.762,88.984,332520,415,93,17.43,52.997,1.89,0.529,0.649,86,255
221,Switch_S6TPE_7_20x_Med_R_VTA red: region 002; 01-09; 700-10000,2237,138.538,38.155,91,86,255,599.321,103.351,600.601,102.529,286.877,545,78,92,50,79.422,35.862,1.855,0.342,92.542,309910,133,0.73,-0.054,95.435,309910,545,95,173.797,45.74,2.215,0.452,0.733,86,255
222,Switch_S6TPE_7_20x_Med_R_VTA red: region 003; 01-09; 700-10000,853,113.601,21.903,95,86,188,186.518,269.362,187.198,269.349,231.078,149,251,66,37,59.384,18.289,18.759,0.201,72.918,96902,107,0.904,0.059,97.709,96902,149,286,25.159,26.1,3.247,0.308,0.603,86,255
223,Switch_S6TPE_7_20x_Med_R_VTA red: region 004; 01-09; 700-10000,714,119.445,22.544,98,86,181,1265.48,319.322,1266.135,319.128,137.924,1244,306,40,30,36.544,24.877,0.272,0.472,43.863,85284,115,0.521,-0.711,99.305,85284,1244,326,24.228,28.711,1.469,0.681,0.794,86,255
224,Switch_S6TPE_7_20x_Med_R_VTA red: region 005; 01-09; 700-10000,779,139.456,35.868,162,86,240,271.936,329.39,271.162,330.213,158.551,246,313,56,28,51.417,19.29,14.237,0.389,59.237,108636,138,0.391,-0.642,99.489,108636,247,335,21.801,23.035,2.665,0.375,0.809,86,255
225,Switch_S6TPE_7_20x_Med_R_VTA red: region 006; 01-09; 700-10000,1246,118.001,23.787,103,86,187,599.72,335.441,599.89,334.741,254.635,575,318,54,40,46.18,34.353,25.514,0.241,58.694,147029,113,0.746,-0.262,94.394,147029,575,351,23.07,39.355,1.344,0.744,0.775,86,255
226,Switch_S6TPE_7_20x_Med_R_VTA red: region 007; 01-09; 700-10000,2236,143.306,33.656,134,86,241,372.036,370.182,372.465,369.112,207.037,334,345,66,52,59.515,47.836,179.9,0.656,68.154,320433,138,0.503,-0.484,99.732,320433,334,362,165.556,49.45,1.244,0.804,0.925,86,255
227,Switch_S6TPE_7_20x_Med_R_VTA red: region 008; 01-09; 700-10000,2055,137.116,40.242,98,86,232,817.44,473.132,818.441,473.397,378.801,775,436,79,68,69.872,37.447,41.874,0.18,87.658,281773,128,0.587,-0.845,97.071,281773,776,481,27.15,50.259,1.866,0.536,0.698,86,255
228,Switch_S6TPE_7_20x_Med_R_VTA red: region 009; 01-09; 700-10000,1583,168.85,48.236,199,86,253,1123.485,464.46,1123.962,465.609,188.995,1094,437,56,49,50.968,39.545,35.027,0.557,66.611,267290,176,-0.156,-1.233,86.597,267290,1096,476,35.838,46.852,1.289,0.776,0.779,86,255
229,Switch_S6TPE_7_20x_Med_R_VTA red: region 010; 01-09; 700-10000,2398,126.908,27.91,92,86,215,225.068,471.863,224.45,472.18,458.843,158,445,126,44,105.102,29.05,3.836,0.143,126.194,304326,123,0.491,-0.55,95.576,304326,158,467,176.82,41.634,3.618,0.276,0.646,86,255
230,Switch_S6TPE_7_20x_Med_R_VTA red: region 011; 01-09; 700-10000,835,128.884,31.558,101,86,217,600.713,462.971,598.944,463.432,199.522,574,447,57,29,49.461,21.495,178.329,0.264,57.079,107618,123,0.583,-0.652,98.005,107618,574,463,3.013,27.784,2.301,0.435,0.702,86,255
231,Switch_S6TPE_7_20x_Med_R_VTA red: region 012; 01-09; 700-10000,1368,130.388,34.733,93,86,230,632.504,503.758,631.899,503.663,183.279,607,482,50,47,44.752,38.921,37.391,0.512,51.614,178371,121,0.88,-0.221,96,178371,624,527,54.462,44.962,1.15,0.87,0.842,86,255
232,Switch_S6TPE_7_20x_Med_R_VTA red: region 013; 01-09; 700-10000,1745,136.417,39.189,98,86,245,1014.209,521.276,1015.455,523.053,269.404,980,494,62,54,60.158,36.933,142.183,0.302,69.836,238048,125,0.808,-0.304,91.746,238048,980,508,150.866,42.485,1.629,0.614,0.78,86,255
233,Switch_S6TPE_7_20x_Med_R_VTA red: region 014; 01-09; 700-10000,1000,113.772,18.271,106,86,177,295.147,557.028,295.179,557.488,216.35,264,536,55,47,41.466,30.706,3.416,0.268,61.294,113772,111,0.618,-0.008,96.712,113772,265,565,28.237,40.434,1.35,0.741,0.606,86,255
234,Switch_S6TPE_7_20x_Med_R_VTA red: region 015; 01-09; 700-10000,964,134.41,30.373,95,86,217,686.856,568.318,686.921,568.654,161.037,665,551,47,38,44.836,27.376,29.495,0.467,52.01,129571,130,0.341,-0.779,98.468,129571,671,587,37.972,30.406,1.638,0.611,0.857,86,255
235,Switch_S6TPE_7_20x_Med_R_VTA red: region 016; 01-09; 700-10000,718,107.636,13.725,94,86,150,1089.435,681.869,1089.415,682.069,181.037,1066,657,42,42,46.522,19.651,42.943,0.275,55.973,77283,106,0.543,-0.337,98.222,77283,1066,694,41.379,22.627,2.367,0.422,0.785,86,255
236,Switch_S6TPE_7_20x_Med_R_VTA red: region 017; 01-09; 700-10000,1693,171.525,42.325,186,86,255,683.644,720.483,683.222,720.885,198.794,655,683,52,65,66.402,32.463,48.99,0.538,77.104,290392,175,-0.134,-0.932,99.941,290392,656,747,56.104,36.972,2.045,0.489,0.877,86,255
237,Switch_S6TPE_7_20x_Med_R_VTA red: region 018; 01-09; 700-10000,1275,118.557,24.57,94,86,186,229.605,802.535,228.514,802.535,280.233,191,783,78,36,67.405,24.084,11.898,0.204,79.429,151160,113,0.684,-0.508,95.506,151160,191,806,10.886,32.803,2.799,0.357,0.676,86,255
238,Switch_S6TPE_7_20x_Med_R_VTA red: region 019; 01-09; 700-10000,1227,121.469,20.937,114,86,180,634.605,818.507,635.19,817.967,165.279,610,792,48,51,53.567,29.165,48.157,0.564,54.083,149042,119,0.341,-0.621,97.381,149042,621,843,70.56,32.372,1.837,0.544,0.851,86,255
239,Switch_S6TPE_7_20x_Med_R_VTA red: region 020; 01-09; 700-10000,994,124.124,26.577,93,86,210,835.857,829.427,834.876,829.398,196.936,809,815,62,28,58.625,21.588,176.836,0.322,62.394,123379,119,0.745,-0.077,97.451,123379,809,824,173.558,28,2.716,0.368,0.755,86,255
240,Switch_S6TPE_7_20x_Med_R_VTA red: region 021; 01-09; 700-10000,915,143.76,46.486,95,86,248,287.755,847.184,285.31,845.994,215.179,263,831,62,30,49.313,23.625,167.779,0.248,62.032,131540,129,0.593,-0.985,96.621,131540,263,850,178.152,29.172,2.087,0.479,0.684,86,255
241,Switch_S6TPE_7_20x_Med_R_VTA red: region 022; 01-09; 700-10000,1563,150.329,46.881,93,86,241,590.911,865.25,592.685,867.259,209.622,556,840,68,44,56.867,34.995,159.266,0.447,73.824,234965,141,0.311,-1.313,78.464,234965,556,843,151.699,44,1.625,0.615,0.684,86,255
242,Switch_S6TPE_7_20x_Med_R_VTA red: region 023; 01-09; 700-10000,1817,152.918,46.583,100,86,255,678.412,990.702,680.071,992.595,305.262,644,956,68,59,59.379,38.961,135.211,0.245,76.026,277852,149,0.24,-1.22,98.216,277852,644,960,153.435,47.08,1.524,0.656,0.703,86,255
243,Switch_S6TPE_7_20x_Pos_R_VTA red: region 001; 01-09; 700-10000,1076,125.331,28.488,113,81,200,99.935,195.033,99.644,194.452,170.309,70,177,61,32,56.829,24.108,172.785,0.466,61.205,134856,122,0.423,-0.699,99.63,134856,70,199,175.314,30.642,2.357,0.424,0.802,80,255
244,Switch_S6TPE_7_20x_Pos_R_VTA red: region 002; 01-09; 700-10000,744,113.528,25.082,89,81,197,290.722,301.796,290.512,302.142,198.451,267,289,54,26,49.521,19.129,15.795,0.237,56.613,84465,109,0.937,0.433,96.623,84465,267,313,17.475,24.951,2.589,0.386,0.73,80,255
245,Switch_S6TPE_7_20x_Pos_R_VTA red: region 003; 01-09; 700-10000,1079,110.639,24.437,101,81,202,902.84,481.18,904.457,479.826,238.735,878,455,54,60,66.579,20.635,46.267,0.238,77.987,119379,104,1.181,1.073,97.647,119379,879,515,49.16,29.526,3.227,0.31,0.648,80,255
246,Switch_S6TPE_7_20x_Pos_R_VTA red: region 004; 01-09; 700-10000,903,112.724,23.342,87,81,183,464.138,539.007,464.595,538.403,190.25,440,514,46,54,53.258,21.588,59.043,0.314,63.246,101790,108,0.757,-0.253,98.581,101790,441,568,55.305,27.435,2.467,0.405,0.746,80,255
247,Switch_S6TPE_7_20x_Pos_R_VTA red: region 005; 01-09; 700-10000,835,117.776,27.303,81,81,206,119.365,649.678,119.69,649.275,188.936,91,625,58,45,64.063,16.596,35.378,0.294,68.242,98343,113,0.799,0.043,97.89,98343,92,664,34.854,21.44,3.86,0.259,0.748,80,255
248,Switch_S6TPE_7_20x_Pos_R_VTA red: region 006; 01-09; 700-10000,1560,155.604,38.938,149,81,234,313.254,652.985,313.806,652.977,175.38,285,628,53,49,60.571,32.792,39.263,0.637,62.936,242742,157,-0.079,-0.893,100,242742,289,673,45.644,34.345,1.847,0.541,0.908,80,255
249,Switch_S6TPE_7_20x_Pos_R_VTA red: region 007; 01-09; 700-10000,1116,114.14,24.438,109,81,215,119.194,831.246,118.234,831.044,194.208,88,817,67,37,63.856,22.252,19.599,0.372,75.591,127380,109,1.332,2.037,99.2,127380,88,854,27.582,27.003,2.87,0.348,0.837,80,255
250,Switch_S6TPE_7_20x_Pos_R_VTA red: region 008; 01-09; 700-10000,815,111.784,25.141,91,81,193,611.975,859.582,612.471,858.075,217.664,588,830,43,58,49.94,20.779,63.477,0.216,65.299,91104,106,0.93,0.112,97.024,91104,590,888,62.65,33.647,2.403,0.416,0.585,80,255
251,Switch_S6TPE_7_20x_Pos_R_VTA red: region 009; 01-09; 700-10000,955,121.171,24.452,123,81,187,856.238,889.649,856.365,888.91,163.137,840,866,38,49,52.801,23.029,63.281,0.451,52.326,115718,121,0.299,-0.637,99.169,115718,847,914,63.925,27.525,2.293,0.436,0.79,80,255
252,Switch_S6TPE_8_20x_Ant_R_VTA red: region 001; 01-09; 700-10000,824,94.615,26.226,60,59,158,192.796,79.235,192.601,79.187,121.296,177,60,30,38,38.815,27.029,116.647,0.704,42.059,77963,91,0.497,-0.809,100,77963,184,61,118.393,29.605,1.436,0.696,0.917,59,255
253,Switch_S6TPE_8_20x_Ant_R_VTA red: region 002; 01-09; 700-10000,2486,145.454,51.242,131,59,254,1061.593,364.293,1061.558,362.649,268.593,1036,327,69,71,63.485,49.859,94.43,0.433,88.865,361599,141,0.203,-0.843,99.559,361599,1036,328,140.937,64.545,1.273,0.785,0.718,59,255
254,Switch_S6TPE_8_20x_Ant_R_VTA red: region 003; 01-09; 700-10000,1163,88.578,17.84,82,59,141,425.263,381.105,425.798,380.627,148.409,403,363,45,40,46.483,31.857,149.631,0.664,47.707,103016,87,0.295,-0.655,93.866,103016,406,365,146.976,34.468,1.459,0.685,0.881,59,255
255,Switch_S6TPE_8_20x_Ant_R_VTA red: region 004; 01-09; 700-10000,2699,121.366,44.05,83,59,255,487.551,535.593,485.43,534.892,249.948,457,487,65,86,76.894,44.691,123.926,0.543,93.622,327567,112,0.855,0.041,99.264,327567,468,487,113.279,50.52,1.721,0.581,0.834,59,255
256,Switch_S6TPE_8_20x_Med_R_VTA red: region 001; 01-09; 700-10000,943,86.474,13.868,71,65,129,1056.069,193.583,1055.595,193.792,265.037,1019,176,72,30,61.585,19.496,16.997,0.169,74.216,81545,85,0.438,-0.514,94.869,81545,1019,204,14.036,27.497,3.159,0.317,0.698,64,255
257,Switch_S6TPE_8_20x_Med_R_VTA red: region 002; 01-09; 700-10000,1332,122.249,42.137,73,65,233,270.939,198.563,273.425,198.658,160.853,242,182,62,33,59.461,28.522,14.278,0.647,66.129,162836,113,0.681,-0.514,96.943,162836,242,209,20.353,31.796,2.085,0.48,0.884,64,255
258,Switch_S6TPE_8_20x_Med_R_VTA red: region 003; 01-09; 700-10000,1935,106.253,28.038,69,65,196,440.505,356.886,440.156,355.876,350.759,414,330,66,64,58.395,42.191,41.1,0.198,72.498,205600,104,0.552,-0.26,98.775,205600,414,377,24.444,50.205,1.384,0.723,0.711,64,255
259,Switch_S6TPE_8_20x_Med_R_VTA red: region 004; 01-09; 700-10000,768,116.126,33.085,70,65,189,957.517,366.852,958.49,366.789,135.054,934,349,40,34,34.005,28.756,48.809,0.529,42.544,89185,116,0.171,-1.076,99.353,89185,934,377,29.578,30.731,1.183,0.846,0.815,64,255
260,Switch_S6TPE_8_20x_Med_R_VTA red: region 005; 01-09; 700-10000,1789,124.091,37.128,83,65,215,177.898,460.797,177.069,460.36,210.894,147,434,72,45,66.854,34.072,164.254,0.505,73.756,221999,121,0.246,-0.967,88.828,221999,147,479,12.529,45,1.962,0.51,0.764,64,255
261,Switch_S6TPE_8_20x_Med_R_VTA red: region 006; 01-09; 700-10000,857,89.799,18.917,74,65,151,312.289,631.471,312.595,630.643,229.22,283,605,45,54,42.345,25.768,63.325,0.205,55.785,76958,86,0.794,0.039,98.619,76958,311,659,75.466,38.667,1.643,0.609,0.565,64,255
262,Switch_S6TPE_8_20x_Med_R_VTA red: region 007; 01-09; 700-10000,1726,145.062,48.04,91,65,255,463.864,650.753,463.101,651.668,245.907,423,620,75,57,57.195,38.423,152.802,0.359,79.85,250377,141,0.181,-1.026,99.942,250377,423,622,157.932,42.196,1.489,0.672,0.762,64,255
263,Switch_S6TPE_8_20x_Med_R_VTA red: region 008; 01-09; 700-10000,1470,106.191,31.908,65,65,196,635.629,676.084,634.079,677.576,237.907,612,647,60,63,60.026,31.181,47.538,0.326,80.43,156101,98,0.708,-0.476,79.331,156101,621,710,51.563,40.2,1.925,0.519,0.694,64,255
264,Switch_S6TPE_8_20x_Med_R_VTA red: region 009; 01-09; 700-10000,1585,124.149,40.475,67,65,223,509.301,680.396,508.985,679.4,267.605,486,651,52,59,61.263,32.941,53.219,0.278,67.119,196776,118,0.31,-1.096,99.435,196776,494,710,61.526,41.722,1.86,0.538,0.744,64,255
265,Switch_S6TPE_8_20x_Med_R_VTA red: region 010; 01-09; 700-10000,832,90.654,20.486,67,65,157,841.409,682.692,843.057,682.107,194.35,814,664,50,40,56.269,18.826,32.087,0.277,59.076,75424,85,0.808,-0.314,95.195,75424,814,700,33.959,23.02,2.989,0.335,0.756,64,255
266,Switch_S6TPE_8_20x_Med_R_VTA red: region 011; 01-09; 700-10000,700,88.301,20.772,67,65,164,674.003,691.441,674.753,690.185,184.208,654,672,35,41,38.43,23.192,57.637,0.259,51.4,61811,81,1.027,0.208,91.984,61811,654,713,52.907,29.15,1.657,0.603,0.731,64,255
267,Switch_S6TPE_8_20x_Med_R_VTA red: region 012; 01-09; 700-10000,723,95.797,20.069,82,65,141,1110.348,704.626,1110.796,703.833,141.238,1086,690,45,31,37.906,24.285,22.807,0.455,46.098,69261,94,0.27,-0.996,97.439,69261,1086,709,12.529,26.7,1.561,0.641,0.788,64,255
268,Switch_S6TPE_8_20x_Med_R_VTA red: region 013; 01-09; 700-10000,1680,106.51,32.184,72,65,222,667.399,792.451,668.876,791.346,358.659,630,764,74,52,57.087,37.47,15.005,0.164,74.061,178936,101,1.151,1.172,99.585,178936,630,805,2.322,49.689,1.524,0.656,0.621,64,255
269,Switch_S6TPE_8_20x_Med_R_VTA red: region 014; 01-09; 700-10000,828,93.781,20.59,72,65,150,107.146,783.012,107.799,782.207,190.208,86,768,41,32,37.573,28.058,174.865,0.288,41.11,77651,90,0.568,-0.661,95.833,77651,86,778,175.815,32,1.339,0.747,0.809,64,255
270,Switch_S6TPE_8_20x_Med_R_VTA red: region 015; 01-09; 700-10000,963,89.721,20.574,67,65,160,550.207,808.26,550.847,808.048,334.558,525,784,52,55,50.42,24.318,43.799,0.108,67.357,86401,84,0.918,0.06,97.371,86401,526,838,40.786,33.051,2.073,0.482,0.568,64,255
271,Switch_S6TPE_8_20x_Med_R_VTA red: region 016; 01-09; 700-10000,1698,120.575,31.092,132,65,199,68.688,846.969,68.911,847.092,217.179,50,804,37,81,69.819,30.965,85.739,0.452,82.565,204736,119,0.185,-0.874,99.706,204736,66,885,78.826,37,2.255,0.444,0.815,64,255
272,Switch_S6TPE_8_20x_Med_R_VTA red: region 017; 01-09; 700-10000,1616,100.952,25.764,73,65,194,127.192,827.147,128.117,826.662,251.622,92,808,67,47,58.651,35.081,10.466,0.321,70.937,163138,97,0.611,-0.295,73.655,163138,92,817,158.499,43.447,1.672,0.598,0.636,64,255
273,Switch_S6TPE_8_20x_Med_R_VTA red: region 018; 01-09; 700-10000,1666,109.345,33.194,72,65,210,328.376,860.042,330.475,858.657,299.12,273,843,92,35,76.052,27.892,3.643,0.234,92.136,182168,104,0.783,-0.051,97.655,182168,273,866,3.111,35,2.727,0.367,0.755,64,255
274,Switch_S6TPE_8_20x_Med_R_VTA red: region 019; 01-09; 700-10000,1280,129.901,40.253,65,65,210,175.12,861.666,176.005,861.482,246.836,138,844,81,44,77.249,21.097,167.365,0.264,87.464,166273,130,0.077,-1.126,99.071,166273,138,855,157.834,28.401,3.662,0.273,0.618,64,255
275,Switch_S6TPE_8_20x_Med_R_VTA red: region 020; 01-09; 700-10000,1793,91.808,20.762,80,65,187,684.115,934.353,683.397,934.614,361.487,653,910,58,54,51.452,44.37,10.705,0.172,62.129,164612,89,1.085,1.245,91.996,164612,656,918,146.821,53.287,1.16,0.862,0.697,64,255
276,Switch_S6TPE_8_20x_Med_R_VTA red: region 021; 01-09; 700-10000,1325,116.582,25.598,125,65,205,157.218,947.108,157.529,946.437,155.966,131,928,52,45,48.542,34.754,20.579,0.684,53.852,154471,116,0.345,0.192,99.849,154471,131,952,15.068,38.781,1.397,0.716,0.898,64,255
277,Switch_S6TPE_8_20x_Pos_R_VTA red: region 001; 01-09; 700-10000,1836,152.441,46.395,142,78,255,918.244,50.132,917.416,48.601,180.409,886,30,63,39,62.454,37.43,179.901,0.709,64.133,279881,147,0.255,-1.026,98.816,279881,886,44,169.216,38.824,1.669,0.599,0.931,78,255
