 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr
73,Switch_S6TPE_1_20x_Med_R_VTA red: region 006; 01-09; 700-10000,908,121.627,33.785,84,76,220,122.296,253.588,121.393,253.658,233.806,82,231,73,39,58.919,19.622,19.149,0.209,74.953,110437,114,0.654,-0.47,98.588,110437,82,259,13.109,29.482,3.003,0.333,0.579,76,255
74,Switch_S6TPE_1_20x_Med_R_VTA red: region 007; 01-09; 700-10000,1114,147.408,42.726,126,76,229,668.057,250.796,668.3,250.188,179.723,641,235,62,34,56.857,24.947,13.458,0.433,62.514,164212,148,0.054,-1.176,97.977,164212,641,261,7.352,27.197,2.279,0.439,0.833,76,255
75,Switch_S6TPE_1_20x_Med_R_VTA red: region 008; 01-09; 700-10000,840,103.706,19.456,91,76,180,1122.61,279.495,1122.235,279.504,193.421,1106,258,38,40,37.947,28.185,139.99,0.282,43.863,87113,101,0.954,1.051,97.674,87113,1110,262,133.152,31.477,1.346,0.743,0.797,76,255
76,Switch_S6TPE_1_20x_Med_R_VTA red: region 009; 01-09; 700-10000,1080,107.313,24.531,104,76,209,311.654,275.292,309.739,275.141,307.948,268,264,103,28,91.78,14.983,4.235,0.143,103.238,115898,102,1.221,1.541,98.72,115898,268,274,3.888,26.651,6.126,0.163,0.527,76,255
77,Switch_S6TPE_1_20x_Med_R_VTA red: region 010; 01-09; 700-10000,1229,137.019,42.004,87,76,231,1179.06,285.322,1178.03,285.917,210.007,1148,269,69,35,55.864,28.011,179.653,0.35,69.354,168396,130,0.438,-0.856,99.353,168396,1148,280,174.207,34.048,1.994,0.501,0.816,76,255
78,Switch_S6TPE_1_20x_Med_R_VTA red: region 011; 01-09; 700-10000,1400,118.54,35.263,85,76,224,1195.863,325.839,1197.487,324.335,275.546,1153,291,70,63,69.992,25.468,43.33,0.232,83.738,165956,107,0.958,0.028,97.697,165956,1153,345,40.156,29.398,2.748,0.364,0.698,76,255
79,Switch_S6TPE_1_20x_Med_R_VTA red: region 012; 01-09; 700-10000,872,141.036,41.478,95,76,237,992.447,326.159,994.306,324.909,152.066,962,308,57,38,62.075,17.886,35.577,0.474,65.368,122983,135,0.403,-0.864,99.885,122983,962,342,29.31,20.77,3.471,0.288,0.872,76,255
80,Switch_S6TPE_1_20x_Med_R_VTA red: region 013; 01-09; 700-10000,1880,129,34.086,99,76,219,511.221,365.731,510.304,365.406,269.019,479,342,80,44,66.191,36.163,176.759,0.326,80.225,242520,126,0.359,-0.789,98.019,242520,479,380,4.289,43.37,1.83,0.546,0.793,76,255
81,Switch_S6TPE_1_20x_Med_R_VTA red: region 014; 01-09; 700-10000,885,101.82,16.812,99,76,160,149.371,354.762,149.772,354.538,228.451,119,344,71,27,62.791,17.946,177.811,0.213,71.568,90111,100,0.672,0.07,98.007,90111,119,349,172.776,25.441,3.499,0.286,0.689,76,255
82,Switch_S6TPE_1_20x_Med_R_VTA red: region 015; 01-09; 700-10000,861,143.826,42.678,88,76,232,256.221,359.377,256.221,359.898,174.51,219,344,69,27,57.437,19.086,177.217,0.355,69.029,123834,143,0.218,-1.055,99.538,123834,219,364,178.34,25.727,3.009,0.332,0.751,76,255
